TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4,class
1557648611.3397,1.550933,1.059665,0.635788,1.058626,0.51594,2.342365,1.182353,0.466348,0.863774,0.478293,12.209126,2.611405,0.873096,1.860355,1.059719,0.665919,0.487221,0.409067,0.55418,0.251386,4.601306,1.589735,1.484449,1.177408,0.673272,4,4,4,4,4,sad
1557648611.46609,2.162511,1.29488,0.684402,1.144315,0.501427,2.369876,1.291157,0.583563,0.953415,0.447056,12.287175,2.715383,0.813398,1.976392,0.953513,0.621933,0.465653,0.469057,0.563678,0.264523,5.404574,1.349068,1.367209,1.201478,0.673059,4,4,4,4,4,sad
1557648611.59228,5.863583,2.716742,1.337754,1.414513,0.576815,2.42354,1.43161,0.73842,1.04295,0.427273,11.979934,2.707797,0.803386,2.122916,0.898536,0.592604,0.417958,0.523566,0.570678,0.284107,6.254538,1.189074,1.306197,1.237131,0.647462,4,4,4,4,4,sad
1557648611.71816,18.019796,7.792549,4.164795,2.339758,0.947634,2.496518,1.582999,0.905007,1.120041,0.419528,11.480666,2.553968,0.824004,2.231547,0.895425,0.641264,0.345795,0.578168,0.557427,0.300508,6.317469,1.160613,1.351109,1.260592,0.610846,4,4,4,4,4,sad
1557648611.84416,42.64678,18.683531,10.587544,4.356009,1.794709,2.638694,1.719485,1.055456,1.172398,0.426213,11.141291,2.326626,0.845533,2.230287,0.913374,0.834315,0.267897,0.639013,0.511471,0.305676,7.248868,1.262229,1.519227,1.237033,0.582008,4,4,4,4,4,sad
1557648611.97035,78.941425,35.185753,20.593175,7.460968,3.105064,2.955849,1.830154,1.162405,1.187219,0.447364,11.305707,2.150188,0.850244,2.090039,0.91335,1.182515,0.212744,0.711843,0.436094,0.297141,6.671442,1.427568,1.795161,1.152546,0.571878,4,4,4,4,4,sad
1557648612.09624,119.11398,53.86085,32.137095,11.051334,4.60624,3.474911,1.898674,1.208255,1.156697,0.475908,11.916572,2.093227,0.828015,1.839345,0.878057,1.62952,0.19653,0.789203,0.347862,0.278885,7.869646,1.578161,2.100234,1.020835,0.575455,4,4,4,4,4,sad
1557648612.22233,151.688021,69.229275,41.840217,14.114585,5.85891,4.119229,1.909969,1.188007,1.079949,0.500897,12.528852,2.127764,0.775387,1.543238,0.821252,2.05637,0.212158,0.855348,0.269263,0.257857,7.492613,1.677203,2.336064,0.885221,0.579707,4,4,4,4,4,sad
1557648612.34843,165.483433,76.142507,46.449069,15.626928,6.442652,4.627815,1.8522,1.102228,0.962243,0.51568,12.555723,2.171725,0.703626,1.278964,0.771198,2.335263,0.236273,0.894088,0.218774,0.23958,8.236888,1.770026,2.448794,0.799037,0.574962,4,4,4,4,4,sad
1557648612.47453,155.450777,72.143696,44.35624,15.051139,6.155227,4.807145,1.726598,0.97601,0.817968,0.52285,11.567122,2.115528,0.624441,1.109987,0.749247,2.378778,0.245543,0.886015,0.200085,0.227192,7.815875,1.886618,2.400239,0.792041,0.564466,4,4,4,4,4,sad
1557648612.60043,125.44554,58.707905,36.383825,12.593074,5.108862,4.485204,1.568948,0.86313,0.672681,0.53346,9.80002,2.010071,0.556452,1.060913,0.756121,2.19341,0.235993,0.825838,0.202345,0.221604,7.218384,2.050974,2.211813,0.855601,0.558775,4,4,4,4,4,sad
1557648612.72672,85.633608,40.504576,25.339279,9.121739,3.676785,3.777521,1.428752,0.804614,0.554481,0.559036,8.185139,2.01923,0.554962,1.116732,0.774452,1.870624,0.232586,0.724,0.210765,0.222838,6.055023,2.264053,1.929039,0.961092,0.569393,4,4,4,4,4,sad
1557648612.85282,48.233962,23.215313,14.742009,5.737914,2.311253,2.905547,1.346126,0.817551,0.484981,0.604725,7.68239,2.33517,0.706421,1.240493,0.784437,1.523126,0.262737,0.602893,0.220598,0.230793,4.670533,2.487021,1.632787,1.081811,0.603767,2,4,4,4,4,sad
1557648612.97913,21.530534,10.901657,7.21497,3.268864,1.334637,2.247377,1.335217,0.88937,0.477574,0.66317,8.902823,3.080539,1.083678,1.392963,0.775323,1.225229,0.349077,0.484424,0.23413,0.244378,3.460228,2.661123,1.407135,1.202366,0.657013,2,4,4,4,4,sad
1557648613.10523,7.772523,4.590533,3.415044,1.960864,0.827318,2.024062,1.363476,0.977813,0.53958,0.715872,11.580948,4.15737,1.686604,1.545644,0.748448,1.004467,0.491984,0.385686,0.257346,0.260752,2.589054,2.689888,1.299304,1.322612,0.715533,2,4,4,4,4,sad
1557648613.23123,3.383256,2.555338,2.259441,1.517442,0.654242,2.258442,1.387498,1.027397,0.666669,0.741538,14.830762,5.282341,2.423052,1.690943,0.713439,0.85423,0.65947,0.315718,0.29584,0.277233,2.219048,2.538155,1.346678,1.447754,0.766394,2,4,4,4,4,sad
1557648613.35724,2.818352,2.191793,2.118008,1.446219,0.607166,2.803773,1.368708,0.994759,0.838172,0.726529,17.512933,6.121286,3.107934,1.844763,0.682461,0.754497,0.79728,0.277605,0.351044,0.293486,2.239717,2.257776,1.564074,1.56785,0.802485,4,4,4,4,4,sad
1557648613.48324,2.758902,2.146715,2.071281,1.437588,0.565655,3.419242,1.301574,0.901665,1.01993,0.672909,18.832303,6.467573,3.583768,2.018306,0.661299,0.680161,0.857329,0.266796,0.416183,0.310215,2.411884,1.962631,1.921883,1.651866,0.822149,4,4,4,4,4,sad
1557648613.60935,2.618299,2.421709,2.069267,1.416488,0.522141,3.898615,1.225586,0.797262,1.172974,0.599149,18.515443,6.321925,3.738893,2.186528,0.647229,0.608287,0.817198,0.268874,0.474744,0.327848,2.67253,1.756422,2.340123,1.658545,0.825969,4,4,4,4,4,sad
1557648613.73536,2.52118,3.052896,2.087631,1.372953,0.484525,4.125148,1.187067,0.713847,1.261417,0.528982,16.891196,5.891933,3.618203,2.305193,0.632455,0.530226,0.692839,0.26692,0.509978,0.34728,2.871658,1.690252,2.68338,1.562447,0.810949,4,4,4,4,4,sad
1557648613.86147,2.320695,3.906553,2.059455,1.297822,0.455125,4.047244,1.239346,0.662397,1.267293,0.480675,14.51287,5.466536,3.401968,2.340549,0.610987,0.440596,0.527347,0.249846,0.511988,0.368454,2.916422,1.744545,2.858252,1.378147,0.773665,4,4,4,4,4,sad
1557648613.98768,2.146243,4.718394,1.933178,1.188952,0.435472,3.751705,1.404295,0.647781,1.204646,0.463756,11.9283,5.248303,3.320683,2.285293,0.583595,0.352733,0.3708,0.217244,0.48265,0.389592,2.900884,1.870431,2.856973,1.160499,0.715082,4,4,4,4,4,sad
1557648614.11359,1.870386,5.204269,1.714031,1.057179,0.427974,3.309653,1.668369,0.683065,1.110705,0.481697,9.514873,5.264536,3.546388,2.175415,0.560833,0.291395,0.264321,0.175267,0.435708,0.409163,2.513031,2.008925,2.738498,0.980956,0.644985,4,4,4,4,4,sad
1557648614.23991,1.676285,5.1821,1.454968,0.926545,0.434185,2.95312,1.988446,0.765417,1.02279,0.534055,7.484169,5.362476,4.031629,2.064821,0.56101,0.28634,0.220111,0.133104,0.394242,0.426513,2.489427,2.106738,2.568935,0.89079,0.578822,4,4,4,4,4,sad
1557648614.36582,1.423177,4.659512,1.202821,0.825352,0.45173,2.763395,2.314099,0.865981,0.95895,0.610825,5.972472,5.323022,4.528828,1.990125,0.597512,0.343206,0.222258,0.100923,0.379495,0.440481,2.111705,2.146091,2.376472,0.900322,0.527407,4,4,4,4,4,sad
1557648614.49194,1.374481,3.794292,0.983334,0.792123,0.472551,2.781344,2.57278,0.949026,0.920739,0.689411,5.026327,4.992573,4.749225,1.954781,0.668741,0.460794,0.242286,0.085616,0.40235,0.448744,2.483949,2.096682,2.138311,0.988154,0.490902,4,4,4,4,4,sad
1557648614.61825,1.232739,2.831449,0.815237,0.849646,0.486838,2.874259,2.690421,0.989289,0.897032,0.743384,4.79302,4.444586,4.56357,1.932884,0.757678,0.594514,0.257001,0.091966,0.45749,0.447542,2.507359,1.995825,1.856902,1.105743,0.465109,4,4,4,4,4,sad
1557648614.74427,1.383841,1.981884,0.692489,0.997764,0.489268,2.98931,2.631334,0.969675,0.88104,0.754076,5.287838,3.832512,4.042617,1.899217,0.836922,0.7092,0.257173,0.119036,0.525502,0.433846,3.059747,1.898059,1.560601,1.207684,0.44785,4,4,4,4,4,sad
1557648614.87019,1.532788,1.442993,0.608039,1.214294,0.481239,3.056218,2.433599,0.890939,0.882175,0.718294,6.349679,3.322312,3.401564,1.865552,0.878239,0.771052,0.244545,0.16325,0.582815,0.408187,3.369167,2.190393,1.409437,1.275556,0.451482,4,4,4,4,4,sad
1557648614.99631,2.110193,1.4168,0.550931,1.455144,0.47281,3.078979,2.224497,0.785269,0.909893,0.650114,7.616586,3.039894,2.869295,1.872113,0.866911,0.785369,0.227391,0.223666,0.613925,0.37724,6.753556,4.462558,2.085628,1.450086,0.561392,4,4,4,4,4,sad
1557648615.12233,3.268751,2.059878,0.532663,1.657997,0.477728,2.986162,2.151309,0.710657,0.955706,0.574752,8.75418,2.983084,2.589438,1.952325,0.808671,0.765475,0.215868,0.300679,0.614775,0.351809,19.782298,11.356691,4.575123,2.013781,0.920061,4,4,4,4,4,sad
1557648615.24846,5.168115,3.404725,0.583838,1.763108,0.500394,2.787174,2.362586,0.723646,1.00085,0.516543,9.661624,3.068005,2.547829,2.090986,0.725459,0.740783,0.219357,0.394285,0.591577,0.341454,48.967752,25.063707,9.381017,3.216231,1.617762,4,4,4,4,1,sad
1557648615.37448,7.579083,5.248027,0.734395,1.738925,0.532433,2.50174,2.8967,0.857385,1.031151,0.48714,10.283916,3.188589,2.616746,2.224621,0.642593,0.724805,0.238153,0.504988,0.553791,0.347768,93.037532,45.123622,15.989347,5.054127,2.594107,4,4,4,4,1,sad
1557648615.5005,9.880181,7.124662,1.005839,1.601548,0.558854,2.142115,3.643464,1.098888,1.049221,0.480214,10.603919,3.273838,2.677298,2.274865,0.581266,0.71325,0.263568,0.648024,0.509245,0.363448,144.883211,67.582264,22.895817,7.191245,3.621288,4,4,4,4,1,sad
1557648615.62653,11.227665,8.49069,1.422587,1.410988,0.567949,1.725629,4.387258,1.396243,1.07185,0.4781,10.593274,3.319246,2.726164,2.198138,0.55514,0.695454,0.306256,0.853171,0.465115,0.375557,186.742444,86.07277,28.08696,9.05139,4.381473,4,4,4,4,1,sad
1557648615.75266,11.403604,8.962777,1.971507,1.245205,0.5598,1.356599,4.88434,1.667135,1.119973,0.464472,10.259461,3.357567,2.794543,2.019944,0.564069,0.65376,0.389897,1.130995,0.425386,0.373777,207.949275,94.580547,29.945318,10.055521,4.611813,4,4,4,4,1,sad
1557648615.87878,10.304139,8.525089,2.594898,1.174831,0.546227,1.170488,4.955415,1.837021,1.205282,0.434123,9.793129,3.403032,2.904772,1.823633,0.597507,0.58046,0.528766,1.451753,0.389784,0.357003,197.152985,90.256264,28.006748,9.916137,4.232674,4,4,4,4,4,sad
1557648616.00511,8.911113,7.545923,3.198355,1.241909,0.542654,1.345931,4.599325,1.862696,1.318143,0.397318,9.208909,3.474586,3.022246,1.70854,0.639837,0.489932,0.713651,1.741724,0.357348,0.333126,162.125638,74.816994,23.113711,8.746247,3.389058,4,4,4,4,4,sad
1557648616.13124,8.053189,6.555698,3.669054,1.435937,0.558018,1.91002,3.950423,1.738585,1.432346,0.374419,8.560355,3.585733,3.063104,1.730755,0.676769,0.405818,0.908006,1.907332,0.32682,0.314095,111.308998,53.59584,16.853595,6.99729,2.379635,4,4,4,4,4,sad
1557648616.25718,8.212398,5.960212,3.94369,1.695991,0.594041,2.768791,3.191194,1.497834,1.515565,0.383043,8.256202,3.730824,2.94022,1.869615,0.698726,0.354389,1.055554,1.879645,0.297464,0.309092,66.246804,33.12146,11.024391,5.240734,1.514247,4,4,4,4,4,sad
1557648616.38321,9.897005,5.800164,3.967334,1.935431,0.649477,3.674914,2.503974,1.214145,1.54356,0.428502,8.292745,3.841858,2.620464,2.041095,0.70378,0.34229,1.110318,1.649479,0.270554,0.319748,32.89846,18.083484,6.682179,3.895682,0.977428,4,4,4,4,4,sad
