TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557622642.132732,160.422765,41.173350,3.582112,1.496692,1.037547,5.536179,3.171954,2.059003,0.867312,0.799592,0.831782,0.716340,0.514732,0.509819,0.558236,1.455679,5.011540,1.614940,0.757309,0.585354,80.614592,16.034166,3.309651,1.886071,0.986937,4,4,4,4,4
1557622642.258849,180.989325,40.171488,3.156776,1.308561,0.985998,5.706851,3.387727,1.821118,0.813869,0.821971,0.804649,0.633847,0.455749,0.567335,0.534218,1.496631,5.190448,1.240561,0.657562,0.531919,89.844328,14.722159,3.137454,1.887190,0.934116,4,4,4,4,4
1557622642.384767,178.453524,34.611917,2.673827,1.277144,0.919366,5.410883,3.414786,1.578826,0.828845,0.827504,0.795955,0.598906,0.388373,0.641192,0.493613,1.708070,5.021330,0.931772,0.631544,0.502319,88.976446,12.115717,2.687676,1.870013,0.847677,4,4,4,4,4
1557622642.510884,154.180333,26.238224,2.241949,1.455397,0.877897,4.711826,3.261779,1.378328,0.916801,0.824133,0.810796,0.648252,0.344982,0.712001,0.443927,2.047632,4.527683,0.783903,0.660596,0.512497,79.321225,9.039247,2.078846,1.826581,0.766868,4,4,4,4,4
1557622642.636802,116.442922,17.387432,2.001508,1.832451,0.882147,3.818930,2.965561,1.284630,1.060770,0.821367,0.831500,0.796823,0.347397,0.757557,0.393414,2.441884,3.853240,0.807721,0.700081,0.557890,63.841347,6.316564,1.533799,1.770301,0.724897,4,4,4,4,4
1557622642.762820,76.749608,10.159287,2.058640,2.311264,0.925022,2.965488,2.572426,1.343539,1.221806,0.825080,0.834967,1.022940,0.395705,0.761503,0.347605,2.809885,3.194192,0.941714,0.707812,0.615200,47.504927,4.546649,1.270940,1.709250,0.733347,4,4,4,4,4
1557622642.888837,45.104509,5.592219,2.334967,2.724695,0.976535,2.357584,2.143290,1.534812,1.357597,0.835094,0.813281,1.262097,0.471036,0.722389,0.308585,3.052375,2.703103,1.109065,0.674190,0.654056,33.728755,3.841775,1.349449,1.646293,0.775763,4,4,4,4,4
1557622643.015055,25.770370,3.522608,2.691471,2.919799,1.003112,2.149934,1.756314,1.774139,1.433476,0.848832,0.778003,1.428050,0.539572,0.657463,0.277356,3.108218,2.411367,1.236650,0.631857,0.652866,24.114673,3.817971,1.683559,1.609503,0.820507,4,4,4,4,4
1557622643.141073,16.828212,3.095610,2.924969,2.842412,0.990072,2.375158,1.482265,1.955284,1.424221,0.864511,0.753441,1.469583,0.580955,0.594248,0.254690,3.016736,2.257656,1.283005,0.635196,0.607999,17.853184,3.986104,2.076546,1.649470,0.838519,4,4,4,4,4
1557622643.267490,13.748450,3.550609,2.910613,2.546599,0.941842,2.902721,1.378446,2.010519,1.333599,0.881454,0.749005,1.395809,0.593401,0.556353,0.240116,2.884684,2.185767,1.242868,0.721378,0.530525,13.690019,4.168377,2.349425,1.796532,0.816256,4,4,4,4,4
