AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,class
7.506356,3.616355,3.952024,1.711848,1.559926,3.926508,1.039006,1.550428,1.203107,2.54416,12.840462,4.691891,4.720235,4.977731,3.020431,3.131421,0.808482,2.431895,1.666347,3.011482,4.103147,2.884336,3.331204,1.304085,2.235825,sad
79.526795,16.142165,2.403969,1.409371,1.793727,1.752581,2.578746,1.446236,2.197827,2.917599,3.243869,1.448106,0.985602,1.057069,1.384574,3.362812,4.896517,2.367775,3.786664,9.016979,43.140541,6.511418,1.585316,2.221121,1.480939,happy
8.262109,3.149114,1.495374,2.205587,1.90088,1.447912,0.857598,2.039924,2.869625,4.079765,72.563059,11.120076,4.436094,2.236236,1.580879,2.801306,4.182729,2.667071,12.617058,11.318236,3.729777,2.028509,1.07682,1.790595,2.01238,happy
14.695467,4.483554,4.696626,4.342502,0.785975,1.782754,0.965648,0.785406,1.786836,1.970823,4.155699,2.00526,2.263815,2.170323,1.47082,3.118157,1.712978,1.803497,2.668846,3.420964,6.511707,4.388429,4.495281,2.957092,1.137987,sad
26.134905,7.885635,2.587952,3.482583,4.458023,3.28182,2.963072,6.331436,5.830138,14.101575,15.691442,8.799588,4.153209,4.72296,3.894555,3.382834,3.013355,4.634759,10.274647,15.172259,11.571532,9.006129,2.91451,3.09738,4.808402,happy
63.114338,7.277946,3.159731,4.124843,0.942618,1.005781,0.510112,1.172372,3.197611,1.130301,4.852997,1.595406,3.166325,6.390711,1.22363,2.432673,1.131457,2.430957,3.930862,2.639699,18.288219,2.830776,2.747262,3.833961,1.087204,sad
30.518042,3.435875,2.973999,1.638784,3.106303,2.226437,3.274259,2.823435,3.097824,7.612883,36.013967,1.884977,2.636679,2.128425,3.904362,4.671586,6.278572,3.775912,10.755811,12.861834,16.4068,2.941769,4.112449,2.6314,4.5181,happy
17.517259,6.24188,1.493588,1.461214,1.44839,0.719419,0.488794,0.69094,1.408304,1.061219,3.653949,1.130636,0.94757,1.196451,1.350387,1.064652,1.206782,3.639357,2.731799,4.094318,5.053312,2.40897,3.412713,1.812292,1.19115,sad
36.015799,7.685947,3.865402,2.503102,0.888028,1.782004,1.396302,0.92474,1.326419,1.246496,9.848482,3.792195,2.830783,1.868862,1.083329,3.588483,2.430446,5.130594,0.827656,1.904385,39.000493,4.191213,6.131887,1.898611,0.793941,sad
6.581886,2.649138,2.132513,1.913873,1.543357,2.60293,0.560073,1.890907,1.775114,2.993534,12.98341,6.539312,4.203768,3.069327,1.39591,6.58164,1.192854,2.427053,1.46618,2.251395,10.877721,2.66359,0.906728,1.614065,1.369037,sad
22.293036,7.089931,1.591343,1.290817,0.72896,1.523316,1.180376,0.388179,1.828238,1.093608,8.869973,4.232174,2.436757,1.224579,1.217732,3.140543,2.144963,2.532477,3.20047,4.904527,10.460171,2.668798,0.742098,1.052708,0.88668,sad
11.258231,3.325761,2.990831,1.291724,0.986528,4.159677,1.03693,1.053384,2.021108,1.894979,19.38242,4.178594,2.74928,2.963658,2.087254,0.887081,0.97137,1.392523,3.687609,4.10302,3.305865,1.2747,1.321729,1.976017,1.463488,sad
3.633041,2.126982,1.207951,1.401391,2.746357,1.194557,1.236422,0.384461,2.243534,2.804314,3.885842,3.906566,4.456711,1.865078,2.055811,3.34326,1.72739,1.969865,2.402135,2.076331,5.099969,2.974373,1.713655,0.87491,1.457387,sad
38.430591,5.240657,5.500151,6.049017,0.908516,1.285445,1.088027,3.388046,2.495269,1.776053,1.763124,0.92815,7.303222,7.576653,1.913595,4.44544,2.549233,6.643592,5.844788,3.377212,16.316033,5.796089,6.05214,5.788271,1.419521,sad
10.170155,5.961294,3.297095,4.349653,2.375649,2.328715,1.098312,3.053225,5.645003,4.813173,4.899442,4.187791,3.327675,2.771834,3.286734,1.942159,0.429209,3.619003,11.254912,10.091222,2.832962,1.663262,1.404142,2.637763,3.22476,happy
19.505699,3.483866,4.674832,3.274025,2.522226,54.797798,8.744355,4.892202,6.409873,5.924869,10.331448,2.166175,4.727451,3.221327,2.956324,21.182508,6.128552,8.975099,9.179889,15.26234,15.086011,1.932048,3.854221,3.535851,2.243991,happy
6.284209,6.717623,2.09534,3.977988,0.835197,1.369091,1.232411,0.705777,2.577895,0.821173,3.967821,2.146551,2.296047,3.05121,1.503856,1.409056,2.402919,2.812463,4.343986,2.052869,3.58644,4.914921,2.074509,3.077874,0.86131,sad
88.547385,14.56263,5.533336,5.313739,2.645171,14.147235,7.02271,4.362318,7.573716,5.579483,46.209244,19.947721,10.756006,8.063718,3.025835,94.208818,12.132982,11.751308,14.362542,13.859773,45.536545,10.297729,4.78675,5.416569,3.70878,happy
10.629812,4.075939,2.782359,2.17555,1.504116,5.902767,2.214605,2.593124,3.443213,3.629883,5.209035,3.825862,3.568978,2.411834,1.859781,4.684137,6.334356,2.909618,7.399971,12.907491,13.042877,4.434838,2.628227,2.350039,2.004672,happy
38.042049,5.313585,1.804144,2.115461,1.010231,1.162515,0.691198,0.635087,1.570613,2.195087,3.913419,3.794948,2.894065,1.204236,1.597847,8.342412,4.810468,2.316519,1.866654,5.31609,11.690638,1.713331,0.895632,2.358779,1.167874,sad
24.383963,5.935967,3.814217,3.227469,2.272113,38.256837,3.460165,5.209918,4.429091,5.344686,16.500452,4.586212,3.159463,2.880172,2.562368,129.526812,16.280418,8.668133,8.148628,14.621144,12.564635,6.152271,4.067652,3.537019,4.15925,happy
90.287474,15.871088,9.28726,2.048896,5.308858,84.496149,12.100477,8.15005,5.657893,10.979048,25.345684,9.236275,5.984707,5.236863,5.432931,31.053088,5.925646,8.505744,12.398845,9.631021,32.760574,5.471208,7.763422,2.028717,5.026592,happy
12.631975,5.55932,1.234471,2.277921,1.115968,1.124327,1.240547,0.853512,2.065426,2.639618,5.463435,4.086198,1.721772,1.435389,1.540474,2.264294,3.05743,4.124661,3.738094,13.020028,9.021637,2.306442,1.968184,2.353112,0.91501,happy
