TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557645229.778085,11.271074,6.380316,3.403579,1.367963,1.639647,1.149905,0.779863,0.510872,2.375740,2.400240,37.752621,6.890354,8.172245,2.433429,1.844950,3.041729,1.376893,1.943351,1.901108,2.711868,4.780948,5.210021,5.012815,1.486832,2.246837,4,4,4,4,4
1557645229.904154,9.125276,7.763624,4.168694,1.546916,1.611099,0.833142,0.614582,0.515881,2.410887,2.375509,43.763158,7.009716,9.316725,2.556697,1.945331,3.117279,1.447158,1.984620,2.180031,2.534082,4.094836,5.345698,5.149274,1.352668,2.137376,4,4,4,4,4
1557645230.030123,7.291308,8.524008,4.885098,1.966436,1.593343,0.658356,0.452002,0.515131,2.371242,2.279040,45.690189,6.999766,9.566431,2.620519,1.978343,3.033905,1.707999,2.196056,2.388117,2.383933,3.361468,5.283670,4.915860,1.279888,2.037854,4,4,4,4,4
1557645230.156292,6.260709,8.513649,5.488480,2.601510,1.702111,0.544488,0.344680,0.543481,2.273444,2.200340,41.354542,6.907009,8.881033,2.600757,1.946524,2.767821,2.078692,2.478404,2.458397,2.278955,4.025684,5.106341,4.438495,1.280967,2.030719,4,4,4,4,4
1557645230.282361,6.279681,7.845333,5.914976,3.334770,2.014901,0.597021,0.365760,0.635459,2.149985,2.236767,33.553951,6.840538,7.553167,2.495144,1.861521,2.507995,2.456329,2.730735,2.378385,2.220412,4.402880,4.914683,3.924442,1.344252,2.151891,4,4,4,4,4
1557645230.408431,7.651404,6.773394,6.047121,3.977544,2.504702,0.742698,0.546385,0.785685,2.033897,2.432506,25.234854,6.883040,6.199131,2.319115,1.741357,2.261907,2.743250,2.884208,2.189704,2.209552,5.785229,4.745006,3.537991,1.426321,2.370102,4,4,4,4,4
1557645230.534400,9.243087,5.632812,5.825532,4.373949,3.040664,1.015568,0.876016,0.960732,1.942938,2.744420,18.052598,7.074830,5.290712,2.129239,1.614112,2.153669,2.859722,2.875058,1.966839,2.246591,6.702668,4.608964,3.291363,1.484208,2.611747,4,4,4,4,4
1557645230.660569,11.245795,4.664330,5.256532,4.428743,3.446876,1.342192,1.283431,1.120341,1.880497,3.060422,15.266067,7.444643,5.100049,1.990578,1.511046,2.193175,2.784571,2.685616,1.784569,2.330582,7.440362,4.439977,3.149144,1.499897,2.798950,4,4,4,4,4
1557645230.786539,12.219343,3.975969,4.400241,4.145547,3.586285,1.688079,1.670395,1.232400,1.834746,3.267685,15.013847,7.879809,5.430608,1.918361,1.459191,2.488825,2.534828,2.334150,1.684193,2.455572,8.090889,4.157717,2.969944,1.480754,2.881905,4,4,4,4,4
1557645230.912709,12.621621,3.543422,3.445016,3.620765,3.422253,2.007908,1.945503,1.305326,1.800682,3.321301,16.151472,8.237670,5.962790,1.882281,1.469132,2.847166,2.214376,1.914738,1.652938,2.605397,8.013792,3.708456,2.703700,1.451485,2.850777,4,4,4,4,4
