TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557649770.65994,0.552918,0.364778,-1.82341,2.13666,1,0.500324,-0.236224,-15.7587,15.5754,1,0.292025,-0.312167,-1.35485,2.49882,1,0.332315,-0.184817,-0.416804,0.298704,1,0.320027,0.520508,0.430725,0.688847,1,0.348474,5.63477,0.736026,13.8129,1,0.268678,4,4,4,0,4
1557649780.74695,0.565892,0.373161,-1.62551,2.01297,1,0.502317,-0.20804,-14.8691,14.2651,1,0.262541,-0.279366,-1.39336,2.31912,1,0.292264,-0.192268,-0.415316,0.271332,1,0.337536,0.528693,0.439884,0.673131,1,0.242857,4.12261,0.972258,13.0914,1,0.305779,4,4,4,0,4
1557649790.83318,0.549687,0.325825,-1.47269,1.91055,1,0.521512,0.0727585,-14.0197,13.2043,1,0.366903,0.0740946,-1.35469,2.14767,1,0.367031,-0.142039,-0.404939,0.24315,1,0.366106,0.529005,0.447546,0.664207,1,0.405715,6.30465,1.08368,12.5685,1,0.327583,4,4,4,0,4
1557649800.91997,0.545169,0.385053,-1.35379,1.81994,1,0.523102,-0.00886225,-13.253,12.3356,1,0.304598,-0.255743,-1.28177,2.00554,1,0.325059,-0.185106,-0.390903,0.219232,1,0.388526,0.542477,0.453333,0.656862,1,0.44959,6.17636,1.43719,12.2599,1,0.376769,4,4,4,1,4
1557649811.00653,0.57577,0.464989,-1.25269,1.75732,1,0.508301,-0.388113,-12.6558,11.629,1,0.285474,-0.267594,-1.27551,1.89565,1,0.300005,-0.196484,-0.389293,0.20393,1,0.411252,0.543908,0.458475,0.654074,1,0.34861,5.46465,1.68312,11.9227,1,0.382266,4,4,4,0,4
1557649821.09296,0.54578,0.332955,-1.16697,1.70833,1,0.528309,-0.0368768,-12.158,11.0272,1,0.373197,-0.0210692,-1.23813,1.7945,1,0.373187,-0.153384,-0.382439,0.187465,1,0.406345,0.537699,0.462718,0.651982,1,0.24601,4.35302,1.78496,11.586,1,0.356631,4,4,4,0,4
