TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557649295.36279,0.380678,0.201552,-0.130683,0.780663,1,0.492648,-0.110739,-10.7412,10.9161,1,0.286001,-0.385669,-1.05281,1.02929,1,0.341115,-0.209829,-0.379619,0.0666085,1,0.454748,0.521482,0.467074,0.589059,1,0.246633,6.37714,3.41513,12.547,1,0.430169,4,4,4,0,4
1557649305.44955,0.419335,0.306075,-0.131499,0.777205,1,0.501737,0.0943925,-10.6699,10.806,1,0.400357,-0.175363,-1.04718,1.01607,1,0.389341,-0.193422,-0.377779,0.0636836,1,0.524368,0.53343,0.467474,0.589512,1,0.463738,6.99952,3.43445,12.5357,1,0.423743,4,4,4,0,4
1557649315.53638,0.478432,0.326842,-0.128166,0.772462,1,0.49572,0.0132659,-10.6052,10.7009,1,0.356867,-0.239217,-1.04047,1.00314,1,0.403321,-0.191428,-0.375843,0.0609367,1,0.477141,0.529347,0.467846,0.589991,1,0.242063,6.15907,3.41001,12.5096,1,0.372444,4,4,4,0,4
1557649325.63061,0.467777,0.285506,-0.125556,0.769273,1,0.500003,0.0280202,-10.5313,10.5956,1,0.407272,-0.182436,-1.03229,0.991547,1,0.40602,-0.189931,-0.374019,0.0587975,1,0.57398,0.538647,0.468083,0.591139,1,0.498057,8.09551,3.43386,12.4793,1,0.373935,4,4,4,0,4
1557649335.71748,0.512853,0.362369,-0.122616,0.765633,1,0.536732,0.897535,-10.4504,10.4919,1,0.432726,-0.116504,-1.02302,0.979839,1,0.455683,-0.168639,-0.372261,0.057167,1,0.662774,0.551277,0.468039,0.593402,1,0.663624,9.48245,3.47461,12.4945,1,0.425585,4,4,4,2,4
1557649345.80416,0.648033,0.439501,-0.11872,0.765285,1,0.55023,0.801679,-10.3362,10.3909,1,0.454598,-0.131152,-1.01332,0.970884,1,0.434614,-0.185221,-0.370778,0.0563768,1,0.575177,0.538625,0.46791,0.595883,1,0.605801,8.85441,3.50076,12.5621,1,0.503448,4,4,4,2,4
1557649355.90645,0.67647,0.494841,-0.116334,0.768087,1,0.534313,0.384719,-10.2311,10.2942,1,0.429736,-0.107533,-1.00401,0.960842,1,0.404228,-0.192103,-0.368944,0.0543036,1,0.673869,0.553326,0.467733,0.598496,1,0.669743,9.35832,3.52931,12.622,1,0.565797,4,4,4,1,4
1557649365.99315,0.654653,0.433241,-0.114224,0.771283,1,0.501833,0.103801,-10.1632,10.2017,1,0.421166,-0.142969,-0.99514,0.950845,1,0.369343,-0.198831,-0.367294,0.0519037,1,0.528247,0.537917,0.467607,0.6009,1,0.644875,8.96754,3.55222,12.7022,1,0.618768,4,4,4,0,4
1557649376.09533,0.711802,0.53654,-0.111609,0.772724,1,0.512432,0.303193,-10.0929,10.1091,1,0.46234,-0.077773,-0.986305,0.942149,1,0.445698,-0.172948,-0.36575,0.0502345,1,0.702177,0.567129,0.467623,0.602651,1,0.551247,8.51306,3.59197,12.7139,1,0.623189,4,4,4,0,4
