TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4,class
1557649291.83254,3.612736,2.682215,1.5918,0.807089,0.829309,1.385689,2.071445,0.934359,1.435652,1.295773,11.395719,9.0426,2.943381,2.220148,1.277438,0.730281,0.777166,0.867873,0.545322,0.708322,2.445771,2.28089,1.682152,1.215329,1.10633,4,4,4,0,4,happy
1557649291.95853,3.314637,2.61599,1.680888,0.701294,0.926399,1.247294,2.150288,0.93256,1.331623,1.338515,13.031728,8.621182,2.785324,1.976606,1.32701,0.784408,0.718339,0.974449,0.61914,0.746159,2.189703,2.222854,1.782298,1.179292,1.22232,4,4,4,0,4,happy
1557649292.08462,3.013028,2.336049,1.651466,0.665849,1.01896,1.292978,2.098525,0.911551,1.291255,1.363069,14.700578,8.192031,2.53765,1.758477,1.316713,0.871371,0.660781,1.008844,0.736049,0.810473,2.395854,2.100404,1.882209,1.192745,1.267353,4,4,4,0,4,happy
1557649292.21081,2.780993,1.900849,1.544593,0.72724,1.103209,1.334706,1.975872,0.8902,1.312703,1.387672,15.37203,7.542617,2.236061,1.592243,1.262037,0.945436,0.608001,0.963907,0.874921,0.875975,2.805972,1.923427,1.930844,1.275517,1.23627,4,4,4,0,4,happy
1557649292.3369,2.62498,1.448619,1.443854,0.878132,1.184367,1.748085,1.878657,0.884717,1.358907,1.427666,14.439586,6.663109,1.960697,1.457583,1.191903,0.985733,0.554421,0.86131,1.013831,0.919473,3.593368,1.752836,1.90964,1.406668,1.15398,4,4,4,0,4,happy
1557649292.463,2.66216,1.09796,1.41676,1.067147,1.266322,2.34007,1.849196,0.921575,1.381719,1.483854,12.522097,5.745115,1.82114,1.319253,1.133417,0.971817,0.495344,0.735739,1.12475,0.92955,5.110077,1.630684,1.845224,1.529466,1.057687,4,4,4,0,4,happy
1557649292.58899,3.06355,0.920393,1.495104,1.233395,1.34197,3.345836,1.865241,0.989247,1.350884,1.543004,9.841172,5.023298,1.84742,1.158158,1.098454,0.933321,0.436683,0.632486,1.185574,0.9079,7.852988,1.593049,1.796288,1.600585,0.977917,4,4,4,0,4,happy
1557649292.71539,3.720125,0.931876,1.662618,1.335716,1.390676,4.446788,1.864432,1.056676,1.26816,1.586333,8.104621,4.680135,2.040679,0.990111,1.078871,0.887641,0.393033,0.584299,1.192161,0.864293,11.354642,1.661937,1.791509,1.61688,0.9254,4,4,4,0,4,happy
1557649292.84139,4.381544,1.087093,1.865416,1.365768,1.386712,5.472454,1.86291,1.095991,1.161949,1.598853,7.355952,4.681218,2.340361,0.854416,1.054194,0.826571,0.371642,0.594147,1.156848,0.808076,15.327372,1.836173,1.842035,1.611793,0.893077,4,4,4,0,4,happy
1557649292.96738,4.897003,1.314136,2.020652,1.338316,1.314163,6.537742,2.055821,1.142157,1.076965,1.577516,7.933614,4.78735,2.723992,0.792421,1.00708,0.750353,0.365415,0.63741,1.104512,0.74647,18.102705,2.069748,1.91443,1.620362,0.865476,4,4,4,0,4,happy
