TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557627426.109185,5.903515,3.196274,1.471187,1.152052,0.925417,1.670217,0.760800,1.178282,0.772703,0.894283,1.854081,1.122703,0.728335,0.611955,0.615148,2.204417,1.785746,1.745949,1.275251,0.828133,6.558827,4.969590,1.644675,0.897230,0.982840,4,4,2,4,4
1557627426.235232,4.693656,2.476811,1.378458,1.184701,0.815937,1.640170,0.889293,1.365954,0.690864,0.926709,2.155509,1.088484,0.853473,0.590845,0.604300,1.980061,1.747412,1.598926,1.320709,0.826687,5.422915,4.123511,1.761555,0.775227,0.997657,4,4,2,4,4
1557627426.361179,3.420527,1.781993,1.237751,1.186208,0.710351,1.514901,1.056449,1.562176,0.628621,0.937011,2.527793,1.045947,0.972992,0.542913,0.585769,1.714998,1.664355,1.426337,1.289136,0.812672,4.156723,3.196669,1.840238,0.620856,0.971455,4,4,2,4,4
1557627426.487226,2.426969,1.268222,1.114172,1.160380,0.616258,1.363268,1.219450,1.711255,0.594950,0.922874,2.854811,0.998660,1.071255,0.487351,0.563293,1.521447,1.598464,1.276643,1.175884,0.799870,3.063228,2.412033,1.861655,0.487522,0.910045,4,4,2,4,4
1557627426.613274,1.896486,0.967442,1.063793,1.133933,0.555437,1.233985,1.326451,1.777437,0.596157,0.889952,3.050469,0.942385,1.142067,0.460071,0.546871,1.474267,1.570747,1.176439,1.006799,0.802591,2.317042,1.864288,1.813993,0.427670,0.834588,4,4,2,4,4
1557627426.739422,1.631264,0.851158,1.104293,1.144545,0.564987,1.147008,1.335388,1.754283,0.629778,0.855344,2.990130,0.874148,1.179833,0.494927,0.552107,1.549121,1.553964,1.113937,0.827110,0.835094,1.814640,1.521731,1.712580,0.463835,0.773713,4,4,2,4,4
1557627426.865570,1.532515,0.859608,1.218609,1.211866,0.669612,1.119868,1.236668,1.661063,0.682272,0.840656,2.716739,0.827562,1.190758,0.604981,0.592059,1.717129,1.510215,1.064212,0.687688,0.906982,1.487359,1.311019,1.594343,0.583424,0.747432,4,4,2,4,4
1557627426.991619,1.460996,0.947161,1.370076,1.313877,0.859186,1.147862,1.074527,1.539498,0.731183,0.861611,2.308730,0.867867,1.201505,0.769401,0.670934,1.884562,1.424798,1.016387,0.616686,1.012802,1.244841,1.162908,1.473484,0.744426,0.758955,4,4,2,4,4
1557627427.117867,1.414160,1.097740,1.505383,1.399650,1.087455,1.202742,0.925146,1.432213,0.754223,0.921077,1.922316,1.038548,1.225098,0.941782,0.779050,2.000834,1.309703,0.968601,0.608016,1.128515,1.089344,1.046592,1.354543,0.896414,0.794427,4,4,2,4,4
1557627427.244116,1.403537,1.276501,1.596976,1.424594,1.290521,1.269119,0.863921,1.360233,0.739712,1.007729,1.663036,1.313235,1.239958,1.067910,0.892133,2.034200,1.187003,0.923717,0.634783,1.220389,1.058806,0.954922,1.246854,1.001100,0.829700,4,4,2,4,4
