AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,Label
3.983228,4.624705,2.672861,0.937832,0.671138,2.722556,3.681216,1.516818,0.559507,0.209572,4.256363,4.308863,3.098551,1.024045,0.582944,0.236332,0.39454,0.718962,0.18918,0.207555,4.651816,4.832061,2.368288,0.693644,0.513476,sad
2.352525,1.132577,1.38283,1.566657,0.535451,2.243568,0.640522,0.818967,1.614585,0.86662,6.449755,3.274763,1.21441,1.844734,0.900792,0.520163,0.718515,0.432098,0.761164,0.455922,3.719492,0.785298,0.955892,1.613727,0.664734,happy
3.981745,1.377175,1.095398,1.017871,0.831678,0.401661,0.966971,0.897524,0.646089,0.941615,1.412487,1.182845,0.89885,0.367673,0.572448,1.070071,0.947317,1.312404,0.944192,1.027423,4.34804,0.930872,1.144097,0.71689,0.814928,sad
17.785089,8.409323,1.743231,1.564529,0.943533,3.22333,2.064314,2.008679,0.99824,0.705679,0.922019,1.767758,0.340349,1.00138,0.551572,2.336011,5.891826,1.786386,0.507947,0.925968,8.838271,9.234347,1.005152,1.489812,0.723927,sad
13.376891,4.868799,1.883793,1.132045,0.952474,2.449874,2.899864,1.655894,1.15869,0.887424,0.676765,0.597653,0.826768,0.582247,0.376995,2.158447,1.841088,1.589882,0.667187,0.644107,5.951669,9.612794,3.01798,1.012983,1.455628,sad
80.6228,15.046573,8.733179,3.201867,3.106918,5.104896,2.48413,5.396418,4.797784,5.079043,24.229333,7.119842,2.385103,2.085793,3.240467,13.309302,3.529153,6.721422,6.752271,10.22939,36.048173,6.022258,5.342286,2.536652,3.768792,happy
6.330869,3.363757,3.158589,2.010695,1.416483,2.435388,2.622668,1.619445,2.559687,1.49048,0.783131,1.159445,1.410032,0.553435,0.830229,3.571126,3.312673,0.638531,1.324812,1.097511,10.93274,5.862757,2.852877,2.101226,1.3484,happy
3.313836,3.637987,1.762438,0.782179,0.56011,1.864376,2.751782,1.578118,0.393141,0.388358,17.588731,3.388515,1.506986,1.174146,0.644556,0.695695,1.616865,0.681425,0.333854,0.327502,2.312335,2.64655,2.937121,1.723018,0.494257,sad
3.645137,1.577722,0.699619,1.034845,0.509922,19.277768,3.308335,2.119913,1.351511,1.15709,2.753654,0.964523,1.00958,1.43107,0.341367,1.181056,0.636934,1.01752,0.640931,0.231499,2.466082,1.825418,0.899019,1.100825,0.624672,happy
2.798608,3.234515,1.506229,1.110413,1.094562,1.09456,1.71301,1.571699,1.14976,0.591925,1.524676,1.252606,0.173262,0.567406,0.5599,2.672965,1.725559,1.735921,0.890429,1.254829,4.761752,2.909624,1.111934,0.80308,0.920787,sad
11.240011,5.16788,0.966894,2.585495,1.287307,0.934664,0.588503,0.557942,2.219247,2.34428,4.884712,3.255269,2.435488,2.273141,1.458125,2.220737,3.614789,5.65694,5.265061,3.587925,17.523116,4.62199,2.307743,3.822255,1.264131,sad
51.91469,6.12815,1.49859,1.164042,1.334298,1.379955,0.413207,0.948958,1.262054,3.17646,4.818387,1.793124,1.62595,1.112422,1.405703,1.764473,0.388277,3.043118,2.119375,4.187505,50.171546,7.230542,4.449203,2.201488,2.640822,sad
95.129421,15.569385,4.188467,2.818754,2.887701,36.278274,14.210602,5.43387,3.499001,4.077768,10.151462,3.17908,1.20065,0.645836,1.045086,270.62007,57.668875,15.846532,9.514145,5.128259,108.243411,10.909398,11.12184,4.136322,3.879251,happy
140.110276,29.330469,4.144658,6.399506,2.36896,1923.212475,1647.857879,1269.682296,613.591592,203.168113,1.331668,1.39132,0.466867,0.661404,0.498665,9.611514,0.842677,2.020072,1.150594,0.676849,35.280049,8.318819,4.042597,2.646042,1.158214,sad
5.139006,4.943986,1.975222,1.074809,0.655151,4.400767,2.706218,1.345025,1.354155,1.279329,4.839094,2.781145,1.060281,0.564068,0.681068,2.548665,0.64568,0.511431,0.428815,0.55497,5.364926,4.785743,3.138753,0.901182,0.330954,happy
42.876085,5.27256,1.904993,1.597461,0.786236,1.355748,0.69082,0.628724,1.061836,0.816275,1.360706,4.81144,0.646119,0.78512,0.458442,0.683969,1.501737,1.974273,1.703074,1.384051,28.426305,6.569484,1.737103,1.619997,0.83332,sad
